Month,Race/Ethnicity,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,MISSING,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2021-01,WHITE,WARNING ISSUED,1,0,1,0,0,1,74
2021-02,AAPI,ARREST,5,0,0,0,0,0,5
2021-02,AAPI,NO ENFORCEMENT ACTION,2,0,0,0,0,2,0
2021-02,AAPI,WARNING ISSUED,0,0,1,0,0,1,11
2021-02,BLACK,ARREST,40,0,3,0,0,10,20
2021-02,BLACK,CITATION/SUMMONS,1,0,1,0,0,0,11
2021-02,BLACK,NO ENFORCEMENT ACTION,6,0,0,0,0,4,1
2021-02,BLACK,WARNING ISSUED,0,0,1,0,0,0,22
2021-02,LATINO,ARREST,37,0,2,0,0,14,36
2021-02,LATINO,CITATION/SUMMONS,8,0,2,0,0,1,20
2021-02,LATINO,NO ENFORCEMENT ACTION,3,0,0,0,0,7,0
2021-02,LATINO,WARNING ISSUED,0,0,1,0,0,1,24
2021-02,UNKNOWN,ARREST,1,0,0,0,0,0,0
2021-02,UNKNOWN,CITATION/SUMMONS,0,0,3,0,0,0,6
2021-02,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,0,0
2021-02,UNKNOWN,WARNING ISSUED,0,0,1,0,0,0,8
2021-02,WHITE,ARREST,32,0,0,0,0,6,26
2021-02,WHITE,CITATION/SUMMONS,0,0,1,0,0,0,21
2021-02,WHITE,NO ENFORCEMENT ACTION,9,0,0,0,0,5,0
2021-02,WHITE,WARNING ISSUED,0,0,4,0,0,2,45
2021-03,AAPI,ARREST,5,0,0,0,0,0,6
2021-03,AAPI,CITATION/SUMMONS,0,0,0,0,0,0,10
2021-03,AAPI,NO ENFORCEMENT ACTION,1,0,0,0,0,2,1
2021-03,AAPI,WARNING ISSUED,0,0,0,0,0,0,3
2021-03,BLACK,ARREST,32,0,1,0,0,4,25
2021-03,BLACK,CITATION/SUMMONS,7,1,6,0,0,0,10
2021-03,BLACK,NO ENFORCEMENT ACTION,1,0,0,0,0,3,2
2021-03,BLACK,WARNING ISSUED,1,0,1,0,0,0,35
2021-03,LATINO,ARREST,52,0,0,0,0,8,25
2021-03,LATINO,CITATION/SUMMONS,5,0,0,0,0,0,22
2021-03,LATINO,NO ENFORCEMENT ACTION,6,0,0,0,0,6,0
2021-03,LATINO,WARNING ISSUED,0,0,1,0,0,5,15
2021-03,UNKNOWN,CITATION/SUMMONS,0,0,1,0,0,0,3
2021-03,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,2,0
2021-03,UNKNOWN,WARNING ISSUED,0,0,0,0,0,0,6
2021-03,WHITE,ARREST,32,0,1,0,0,5,28
2021-03,WHITE,CITATION/SUMMONS,3,0,1,0,0,0,24
2021-03,WHITE,NO ENFORCEMENT ACTION,3,0,0,0,0,7,1
2021-03,WHITE,WARNING ISSUED,0,0,3,0,0,4,61
2021-04,AAPI,ARREST,14,0,0,0,0,0,1
2021-04,AAPI,CITATION/SUMMONS,7,0,8,0,1,0,132
2021-04,AAPI,NO ENFORCEMENT ACTION,1,0,0,0,0,0,0
2021-04,AAPI,WARNING ISSUED,0,0,2,0,0,1,48
2021-04,BLACK,ARREST,41,0,0,0,0,12,16
2021-04,BLACK,CITATION/SUMMONS,7,0,12,0,0,2,239
